"Beratung zu Asyl und Aufenthalt","Beratung zu Asyl und Aufenthalt"
"Unterstützung durch Gespräche","Unterstützung durch Gespräche"
"Beratung für geflüchtete Frauen*","Beratung für geflüchtete Frauen*"
"Deutschkurse","Deutschkurse"
"und weitere Angebote.","und weitere Angebote."
"Alle Angebote der KuB sind kostenlos","Alle Angebote der KuB sind kostenlos"
"Angebote","Angebote"
"Wir beraten Sie zu Asyl- und Aufenthaltsrecht.","Wir beraten Sie zu Asyl- und Aufenthaltsrecht."
"**Wir beraten auf verschiedenen Sprachen**, zum Beispiel Arabisch, Deutsch, Englisch, Italienisch, Kurdisch, Spanisch, Dari, Farsi, Französisch, und so weiter.","**Wir beraten auf verschiedenen Sprachen**, zum Beispiel Arabisch, Deutsch, Englisch, Italienisch, Kurdisch, Spanisch, Dari, Farsi, Französisch, und so weiter."
"Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an.","Wenn Sie eine*n Sprachmittler*in bei der Beratung dabei haben wollen, rufen Sie bitte vorher bei uns an."
"Kommen Sie bitte persönlich in die KuB.","Kommen Sie bitte persönlich in die KuB."
"Wir beraten nicht am Telefon und nicht per E-Mail.","Wir beraten nicht am Telefon und nicht per E-Mail."
"**Bitte bringen Sie alle Papiere mit**, die für die Beratung wichtig sind. Zum Beispiel:","**Bitte bringen Sie alle Papiere mit**, die für die Beratung wichtig sind. Zum Beispiel:"
"Papiere vom Bundesamt für Migration und Flüchtlinge (BAMF), von der Ausländerbehörde, vom Jobcenter und so weiter.","Papiere vom Bundesamt für Migration und Flüchtlinge (BAMF), von der Ausländerbehörde, vom Jobcenter und so weiter."
"den Brief vom Rechtsanwalt/von der Rechtsanwältin.","den Brief vom Rechtsanwalt/von der Rechtsanwältin."
"Zu uns kommen sehr viele Ratsuchende. Kommen Sie daher bitte früh am Morgen. Am besten schon um 8:30 Uhr.","Zu uns kommen sehr viele Ratsuchende. Kommen Sie daher bitte früh am Morgen. Am besten schon um 8:30 Uhr."
"Bitte haben Sie Verständnis, wenn Sie warten müssen.","Bitte haben Sie Verständnis, wenn Sie warten müssen."
"Es kann einige Zeit dauern, bis wir Sie beraten können.","Es kann einige Zeit dauern, bis wir Sie beraten können."
"Manchmal können wir Sie an dem Tag auch nicht beraten, weil so viele Ratsuchende zu uns kommen. Auch dafür bitten wir Sie um Verständnis.","Manchmal können wir Sie an dem Tag auch nicht beraten, weil so viele Ratsuchende zu uns kommen. Auch dafür bitten wir Sie um Verständnis."
"Beratungszeiten","Beratungszeiten"
"Montag, Dienstag, Donnerstag und Freitag","Montag, Dienstag, Donnerstag und Freitag"
"immer von 9:00 bis 12:00 Uhr","immer von 9:00 bis 12:00 Uhr"
"Sie können sich ab 8:30 Uhr bei uns im Büro zur Beratung anmelden. Bei Fragen rufen Sie uns an:","Sie können sich ab 8:30 Uhr bei uns im Büro zur Beratung anmelden. Bei Fragen rufen Sie uns an:"
"Sie können zu uns kommen:","Sie können zu uns kommen:"
"Wenn Sie schlecht schlafen.","Wenn Sie schlecht schlafen."
"Wenn Sie sehr oft traurig sind.","Wenn Sie sehr oft traurig sind."
"Wenn Sie oft und große Angst haben.","Wenn Sie oft und große Angst haben."
"Wenn Sie Probleme mit Ihrer Familie haben.","Wenn Sie Probleme mit Ihrer Familie haben."
"Wenn Sie Probleme mit Ihren Freund*innen haben.","Wenn Sie Probleme mit Ihren Freund*innen haben."
"Wenn Sie sich einsam fühlen.","Wenn Sie sich einsam fühlen."
"Wenn Sie sich hilflos fühlen.","Wenn Sie sich hilflos fühlen."
"Wenn Sie immer an schlimme Dinge denken müssen.","Wenn Sie immer an schlimme Dinge denken müssen."
"Wenn Sie sich nicht konzentrieren können.","Wenn Sie sich nicht konzentrieren können."
"Wenn zu viele Gedanken in Ihrem Kopf sind.","Wenn zu viele Gedanken in Ihrem Kopf sind."
